Infografia,Provincia,Fallecidos,Fecha_reporte,Hora_reporte
30,Cañar,1,2020/03/29 00:00:00,10:00
30,Carchi,0,2020/03/29 00:00:00,10:00
30,Chimborazo,0,2020/03/29 00:00:00,10:00
30,Cotopaxi,1,2020/03/29 00:00:00,10:00
30,Imbabura,1,2020/03/29 00:00:00,10:00
30,Loja,0,2020/03/29 00:00:00,10:00
30,Pichincha,4,2020/03/29 00:00:00,10:00
30,Santo Domingo de los Tsáchilas,0,2020/03/29 00:00:00,10:00
30,Tungurahua,0,2020/03/29 00:00:00,10:00
30,El Oro,4,2020/03/29 00:00:00,10:00
30,Esmeraldas,0,2020/03/29 00:00:00,10:00
30,Guayas,37,2020/03/29 00:00:00,10:00
30,Los Ríos,5,2020/03/29 00:00:00,10:00
30,Manabí,1,2020/03/29 00:00:00,10:00
30,Santa Elena,2,2020/03/29 00:00:00,10:00
30,Morona Santiago,0,2020/03/29 00:00:00,10:00
30,Napo,0,2020/03/29 00:00:00,10:00
30,Orellana,0,2020/03/29 00:00:00,10:00
30,Pastaza,0,2020/03/29 00:00:00,10:00
30,Sucumbíos,1,2020/03/29 00:00:00,10:00
30,Zamora Chinchipe,0,2020/03/29 00:00:00,10:00
30,Galápagos,0,2020/03/29 00:00:00,10:00
31,Azuay,1,2020/03/29 00:00:00,17:00
31,Bolívar,0,2020/03/29 00:00:00,17:00
31,Cañar,1,2020/03/29 00:00:00,17:00
31,Carchi,0,2020/03/29 00:00:00,17:00
31,Chimborazo,0,2020/03/29 00:00:00,17:00
31,Cotopaxi,1,2020/03/29 00:00:00,17:00
31,Imbabura,1,2020/03/29 00:00:00,17:00
31,Loja,0,2020/03/29 00:00:00,17:00
31,Pichincha,4,2020/03/29 00:00:00,17:00
31,Santo Domingo de los Tsáchilas,0,2020/03/29 00:00:00,17:00
31,Tungurahua,0,2020/03/29 00:00:00,17:00
31,El Oro,4,2020/03/29 00:00:00,17:00
31,Esmeraldas,0,2020/03/29 00:00:00,17:00
31,Guayas,37,2020/03/29 00:00:00,17:00
31,Los Ríos,5,2020/03/29 00:00:00,17:00
31,Manabí,1,2020/03/29 00:00:00,17:00
31,Santa Elena,2,2020/03/29 00:00:00,17:00
31,Morona Santiago,0,2020/03/29 00:00:00,17:00
31,Napo,0,2020/03/29 00:00:00,17:00
31,Orellana,0,2020/03/29 00:00:00,17:00
31,Pastaza,0,2020/03/29 00:00:00,17:00
31,Sucumbíos,1,2020/03/29 00:00:00,17:00
31,Zamora Chinchipe,0,2020/03/29 00:00:00,17:00
31,Galápagos,0,2020/03/29 00:00:00,17:00
32,Azuay,1,2020/03/30 00:00:00,10:00
32,Bolívar,0,2020/03/30 00:00:00,10:00
32,Cañar,1,2020/03/30 00:00:00,10:00
32,Carchi,0,2020/03/30 00:00:00,10:00
32,Chimborazo,0,2020/03/30 00:00:00,10:00
32,Cotopaxi,1,2020/03/30 00:00:00,10:00
32,Imbabura,1,2020/03/30 00:00:00,10:00
32,Loja,0,2020/03/30 00:00:00,10:00
32,Pichincha,5,2020/03/30 00:00:00,10:00
32,Santo Domingo de los Tsáchilas,0,2020/03/30 00:00:00,10:00
32,Tungurahua,0,2020/03/30 00:00:00,10:00
32,El Oro,4,2020/03/30 00:00:00,10:00
32,Esmeraldas,0,2020/03/30 00:00:00,10:00
32,Guayas,38,2020/03/30 00:00:00,10:00
32,Los Ríos,5,2020/03/30 00:00:00,10:00
32,Manabí,1,2020/03/30 00:00:00,10:00
32,Santa Elena,2,2020/03/30 00:00:00,10:00
32,Morona Santiago,0,2020/03/30 00:00:00,10:00
